ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
6357931,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20759,365243,1,0,0,0,,2.0
6148002,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23863,365243,1,0,0,0,,2.0
6211007,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23863,365243,1,0,0,0,,2.0
6211008,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23863,365243,1,0,0,0,,2.0
6148003,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18621,365243,1,0,0,0,,2.0
6230295,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18621,365243,1,0,0,0,,2.0
6230525,F,N,Y,0,121500.0,Working,Higher education,Married,House / apartment,-19892,-12240,1,1,1,0,Core staff,2.0
6230527,F,N,Y,0,121500.0,Working,Higher education,Married,House / apartment,-19892,-12240,1,1,1,0,Core staff,2.0
6357943,F,N,Y,0,121500.0,Working,Higher education,Married,House / apartment,-19892,-12240,1,1,1,0,Core staff,2.0
6148007,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-19282,365243,1,0,0,0,,1.0
6230542,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-19282,365243,1,0,0,0,,1.0
6230544,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-19282,365243,1,0,0,0,,1.0
6230545,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-19282,365243,1,0,0,0,,1.0
6148008,F,N,Y,2,135000.0,Working,Higher education,Married,House / apartment,-11767,-3808,1,1,1,0,,4.0
6230563,F,N,Y,2,135000.0,Working,Higher education,Married,House / apartment,-11767,-3808,1,1,1,0,,4.0
6230564,F,N,Y,2,135000.0,Working,Higher education,Married,House / apartment,-11767,-3808,1,1,1,0,,4.0
6230565,F,N,Y,2,135000.0,Working,Higher education,Married,House / apartment,-11767,-3808,1,1,1,0,,4.0
6230566,F,N,Y,2,135000.0,Working,Higher education,Married,House / apartment,-11767,-3808,1,1,1,0,,4.0
6148010,F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-18242,-8588,1,1,1,0,Managers,2.0
6148063,F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-18242,-8588,1,1,1,0,Managers,2.0
6148064,F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-18242,-8588,1,1,1,0,Managers,2.0
6230606,F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-18242,-8588,1,1,1,0,Managers,2.0
6230608,F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-18242,-8588,1,1,1,0,Managers,2.0
6230609,F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-18242,-8588,1,1,1,0,Managers,2.0
6230610,F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-18242,-8588,1,1,1,0,Managers,2.0
6230611,F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-18242,-8588,1,1,1,0,Managers,2.0
6230612,F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-18242,-8588,1,1,1,0,Managers,2.0
6230613,F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-18242,-8588,1,1,1,0,Managers,2.0
6357964,F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-18242,-8588,1,1,1,0,Managers,2.0
6148011,M,N,N,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-8798,-2194,1,0,0,0,Laborers,1.0
6358228,M,N,N,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-8798,-2194,1,0,0,0,Laborers,1.0
6358229,M,N,N,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-8798,-2194,1,0,0,0,Laborers,1.0
6358230,M,N,N,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-8798,-2194,1,0,0,0,Laborers,1.0
6358231,M,N,N,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-8798,-2194,1,0,0,0,Laborers,1.0
6148012,M,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12734,-644,1,0,0,0,Laborers,2.0
6148013,M,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12734,-644,1,0,0,0,Laborers,2.0
6358234,M,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12734,-644,1,0,0,0,Laborers,2.0
6358236,M,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12734,-644,1,0,0,0,Laborers,2.0
6358237,M,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12734,-644,1,0,0,0,Laborers,2.0
6358238,M,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12734,-644,1,0,0,0,Laborers,2.0
6148014,F,Y,Y,2,81000.0,Working,Secondary / secondary special,Married,House / apartment,-12739,-3900,1,1,0,0,Laborers,4.0
6148015,F,Y,Y,2,81000.0,Working,Secondary / secondary special,Married,House / apartment,-12739,-3900,1,1,0,0,Laborers,4.0
6358426,F,Y,Y,2,81000.0,Working,Secondary / secondary special,Married,House / apartment,-12739,-3900,1,1,0,0,Laborers,4.0
6358428,F,Y,Y,2,81000.0,Working,Secondary / secondary special,Married,House / apartment,-12739,-3900,1,1,0,0,Laborers,4.0
6358429,F,Y,Y,2,81000.0,Working,Secondary / secondary special,Married,House / apartment,-12739,-3900,1,1,0,0,Laborers,4.0
6358430,F,Y,Y,2,81000.0,Working,Secondary / secondary special,Married,House / apartment,-12739,-3900,1,1,0,0,Laborers,4.0
6358431,F,Y,Y,2,81000.0,Working,Secondary / secondary special,Married,House / apartment,-12739,-3900,1,1,0,0,Laborers,4.0
6148016,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-17175,-1982,1,0,1,0,Core staff,2.0
6358505,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-17175,-1982,1,0,1,0,Core staff,2.0
6358506,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-17175,-1982,1,0,1,0,Core staff,2.0
6358507,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-17175,-1982,1,0,1,0,Core staff,2.0
6358508,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-17175,-1982,1,0,1,0,Core staff,2.0
6358509,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-17175,-1982,1,0,1,0,Core staff,2.0
6358510,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-17175,-1982,1,0,1,0,Core staff,2.0
6358511,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-17175,-1982,1,0,1,0,Core staff,2.0
6358512,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-17175,-1982,1,0,1,0,Core staff,2.0
6358513,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-17175,-1982,1,0,1,0,Core staff,2.0
6148017,F,Y,Y,2,126000.0,Working,Higher education,Married,House / apartment,-10338,-3201,1,0,0,0,High skill tech staff,4.0
6282590,F,Y,Y,2,126000.0,Working,Higher education,Married,House / apartment,-10338,-3201,1,0,0,0,High skill tech staff,4.0
6282591,F,Y,Y,2,126000.0,Working,Higher education,Married,House / apartment,-10338,-3201,1,0,0,0,High skill tech staff,4.0
6282592,F,Y,Y,2,126000.0,Working,Higher education,Married,House / apartment,-10338,-3201,1,0,0,0,High skill tech staff,4.0
6282593,F,Y,Y,2,126000.0,Working,Higher education,Married,House / apartment,-10338,-3201,1,0,0,0,High skill tech staff,4.0
6282594,F,Y,Y,2,126000.0,Working,Higher education,Married,House / apartment,-10338,-3201,1,0,0,0,High skill tech staff,4.0
6282595,F,Y,Y,2,126000.0,Working,Higher education,Married,House / apartment,-10338,-3201,1,0,0,0,High skill tech staff,4.0
6282596,F,Y,Y,2,126000.0,Working,Higher education,Married,House / apartment,-10338,-3201,1,0,0,0,High skill tech staff,4.0
6148018,M,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-12546,-1009,1,0,0,0,Laborers,2.0
6282598,M,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-12546,-1009,1,0,0,0,Laborers,2.0
6148019,M,Y,N,0,270000.0,State servant,Secondary / secondary special,Married,House / apartment,-16039,-8650,1,0,0,0,Core staff,2.0
6282978,M,Y,N,0,270000.0,State servant,Secondary / secondary special,Married,House / apartment,-16039,-8650,1,0,0,0,Core staff,2.0
6282982,M,Y,N,0,270000.0,State servant,Secondary / secondary special,Married,House / apartment,-16039,-8650,1,0,0,0,Core staff,2.0
6282984,M,Y,N,0,270000.0,State servant,Secondary / secondary special,Married,House / apartment,-16039,-8650,1,0,0,0,Core staff,2.0
6282985,M,Y,N,0,270000.0,State servant,Secondary / secondary special,Married,House / apartment,-16039,-8650,1,0,0,0,Core staff,2.0
6148021,M,Y,Y,0,166500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20161,365243,1,0,1,0,,2.0
6210809,M,Y,Y,0,166500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20161,365243,1,0,1,0,,2.0
6210810,M,Y,Y,0,166500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20161,365243,1,0,1,0,,2.0
6210811,M,Y,Y,0,166500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20161,365243,1,0,1,0,,2.0
6210813,M,Y,Y,0,166500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20161,365243,1,0,1,0,,2.0
6210814,M,Y,Y,0,166500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20161,365243,1,0,1,0,,2.0
6148023,F,N,Y,0,94500.0,Pensioner,Incomplete higher,Married,House / apartment,-21014,365243,1,0,0,0,,2.0
6148024,F,N,Y,0,94500.0,Pensioner,Incomplete higher,Married,House / apartment,-21014,365243,1,0,0,0,,2.0
6210892,F,N,Y,0,94500.0,Pensioner,Incomplete higher,Married,House / apartment,-21014,365243,1,0,0,0,,2.0
6210893,F,N,Y,0,94500.0,Pensioner,Incomplete higher,Married,House / apartment,-21014,365243,1,0,0,0,,2.0
6210894,F,N,Y,0,94500.0,Pensioner,Incomplete higher,Married,House / apartment,-21014,365243,1,0,0,0,,2.0
6210895,F,N,Y,0,94500.0,Pensioner,Incomplete higher,Married,House / apartment,-21014,365243,1,0,0,0,,2.0
6210896,F,N,Y,0,94500.0,Pensioner,Incomplete higher,Married,House / apartment,-21014,365243,1,0,0,0,,2.0
6210897,F,N,Y,0,94500.0,Pensioner,Incomplete higher,Married,House / apartment,-21014,365243,1,0,0,0,,2.0
6210898,F,N,Y,0,94500.0,Pensioner,Incomplete higher,Married,House / apartment,-21014,365243,1,0,0,0,,2.0
6210899,F,N,Y,0,94500.0,Pensioner,Incomplete higher,Married,House / apartment,-21014,365243,1,0,0,0,,2.0
6210900,F,N,Y,0,94500.0,Pensioner,Incomplete higher,Married,House / apartment,-21014,365243,1,0,0,0,,2.0
6148025,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20143,365243,1,0,0,0,,2.0
6211016,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20143,365243,1,0,0,0,,2.0
6211017,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20143,365243,1,0,0,0,,2.0
6211018,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20143,365243,1,0,0,0,,2.0
6148026,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-22113,365243,1,0,0,0,,1.0
6230548,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-22113,365243,1,0,0,0,,1.0
6230549,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-22113,365243,1,0,0,0,,1.0
6230550,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-22113,365243,1,0,0,0,,1.0
6230551,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-22113,365243,1,0,0,0,,1.0
6230552,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-22113,365243,1,0,0,0,,1.0
6230553,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-22113,365243,1,0,0,0,,1.0
6230554,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-22113,365243,1,0,0,0,,1.0
6230555,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-22113,365243,1,0,0,0,,1.0
6230556,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-22113,365243,1,0,0,0,,1.0
6230557,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-22113,365243,1,0,0,0,,1.0
6148030,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-18662,-3231,1,0,0,0,Realty agents,2.0
6358075,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-18662,-3231,1,0,0,0,Realty agents,2.0
6148032,F,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-13715,-4174,1,1,1,0,Core staff,1.0
6358516,F,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-13715,-4174,1,1,1,0,Core staff,1.0
6358517,F,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-13715,-4174,1,1,1,0,Core staff,1.0
6358518,F,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-13715,-4174,1,1,1,0,Core staff,1.0
6358519,F,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-13715,-4174,1,1,1,0,Core staff,1.0
6148033,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-9280,-2317,1,0,0,0,Waiters/barmen staff,1.0
6282606,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-9280,-2317,1,0,0,0,Waiters/barmen staff,1.0
6282607,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-9280,-2317,1,0,0,0,Waiters/barmen staff,1.0
6282608,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-9280,-2317,1,0,0,0,Waiters/barmen staff,1.0
6282609,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-9280,-2317,1,0,0,0,Waiters/barmen staff,1.0
6282610,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-9280,-2317,1,0,0,0,Waiters/barmen staff,1.0
6282611,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-9280,-2317,1,0,0,0,Waiters/barmen staff,1.0
6282612,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-9280,-2317,1,0,0,0,Waiters/barmen staff,1.0
6282613,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-9280,-2317,1,0,0,0,Waiters/barmen staff,1.0
6282614,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-9280,-2317,1,0,0,0,Waiters/barmen staff,1.0
6282615,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-9280,-2317,1,0,0,0,Waiters/barmen staff,1.0
6282616,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-9280,-2317,1,0,0,0,Waiters/barmen staff,1.0
6148035,F,Y,Y,0,175500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16594,-3321,1,0,0,0,Laborers,2.0
6148036,F,Y,Y,0,175500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16594,-3321,1,0,0,0,Laborers,2.0
6282633,F,Y,Y,0,175500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16594,-3321,1,0,0,0,Laborers,2.0
6282634,F,Y,Y,0,175500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16594,-3321,1,0,0,0,Laborers,2.0
6282635,F,Y,Y,0,175500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16594,-3321,1,0,0,0,Laborers,2.0
6148037,F,Y,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20948,365243,1,0,1,0,,2.0
6148041,F,Y,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20948,365243,1,0,1,0,,2.0
6148042,F,Y,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20948,365243,1,0,1,0,,2.0
6148043,F,Y,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20948,365243,1,0,1,0,,2.0
6283005,F,Y,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20948,365243,1,0,1,0,,2.0
6283006,F,Y,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20948,365243,1,0,1,0,,2.0
6283007,F,Y,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20948,365243,1,0,1,0,,2.0
6283008,F,Y,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20948,365243,1,0,1,0,,2.0
6283010,F,Y,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20948,365243,1,0,1,0,,2.0
6283014,F,Y,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20948,365243,1,0,1,0,,2.0
6283015,F,Y,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20948,365243,1,0,1,0,,2.0
6283016,F,Y,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20948,365243,1,0,1,0,,2.0
6283017,F,Y,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20948,365243,1,0,1,0,,2.0
6283018,F,Y,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20948,365243,1,0,1,0,,2.0
6283019,F,Y,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20948,365243,1,0,1,0,,2.0
